plant_id,location_id,gene_A,gene_B,gene_C,trait_yield,avg_temp,rainfall_mm,soil_ph
P021,L002,0.7722447692966574,0.6775643618422824,0.8093611554785136,100,24.92996818054874,257.9236285589108,6.599057764647471
P022,L001,0.1987156815341724,0.0165878289278561,0.8101133946791808,92,24.39816157547097,258.3158087451697,5.615117520033289
P023,L002,0.0055221171236023,0.512093058299281,0.8670723185801037,61,24.92996818054874,257.9236285589108,6.599057764647471
P024,L004,0.8154614284548342,0.2264957751979379,0.9132405525564712,116,31.2856179415652,198.8840609405163,7.2754083655166
P025,L004,0.7068573438476171,0.6451727904094499,0.5113423988609378,114,31.2856179415652,198.8840609405163,7.2754083655166
P026,L002,0.7290071680409873,0.1743664290049914,0.5015162946871996,82,24.92996818054874,257.9236285589108,6.599057764647471
P027,L002,0.7712703466859457,0.690937738102466,0.7982951789667752,89,24.92996818054874,257.9236285589108,6.599057764647471
P028,L002,0.0740446517340903,0.3867353463005374,0.6499639307777652,123,24.92996818054874,257.9236285589108,6.599057764647471
P029,L004,0.3584657285442726,0.9367299887367344,0.7019668772577033,92,31.2856179415652,198.8840609405163,7.2754083655166
P030,L004,0.1158690595251297,0.1375209441459932,0.795792669436101,93,31.2856179415652,198.8840609405163,7.2754083655166
P031,L001,0.8631034258755935,0.3410663510502585,0.8900053418175663,78,24.39816157547097,258.3158087451697,5.615117520033289
P032,L001,0.6232981268275579,0.113473521240589,0.3379951568515358,62,24.39816157547097,258.3158087451697,5.615117520033289
P033,L004,0.3308980248526492,0.9246936182785628,0.375582952639944,61,31.2856179415652,198.8840609405163,7.2754083655166
P034,L002,0.0635583502860236,0.877339353380981,0.093981939840869,144,24.92996818054874,257.9236285589108,6.599057764647471
P035,L002,0.3109823217156622,0.2579416277151556,0.578280140996174,95,24.92996818054874,257.9236285589108,6.599057764647471
P036,L001,0.325183322026747,0.659984046034179,0.035942273796742,51,24.39816157547097,258.3158087451697,5.615117520033289
P037,L004,0.7296061783380641,0.8172222002012158,0.4655980181324601,84,31.2856179415652,198.8840609405163,7.2754083655166
P038,L001,0.6375574713552131,0.5552008115994623,0.5426446347075766,136,24.39816157547097,258.3158087451697,5.615117520033289
P039,L001,0.8872127425763265,0.5296505783560065,0.2865412521282844,130,24.39816157547097,258.3158087451697,5.615117520033289
P040,L003,0.4722149251619493,0.2418522909004516,0.5908332605690108,139,30.087776841155577,118.24122060973806,6.383061002746754
P041,L003,0.1195942459383017,0.0931027678058992,0.0305002499390494,57,30.087776841155577,118.24122060973806,6.383061002746754
P042,L003,0.713244787222995,0.8972157579533268,0.0373481887492144,142,30.087776841155577,118.24122060973806,6.383061002746754
P043,L002,0.7607850486168974,0.9004180571633305,0.8226005606596583,75,24.92996818054874,257.9236285589108,6.599057764647471
P044,L004,0.5612771975694962,0.6331014572732679,0.3601906414112629,123,31.2856179415652,198.8840609405163,7.2754083655166
P045,L004,0.770967179954561,0.3390297910487007,0.1270605126518847,139,31.2856179415652,198.8840609405163,7.2754083655166
P046,L004,0.4937955963643907,0.3492095746126609,0.5222432600548044,83,31.2856179415652,198.8840609405163,7.2754083655166
P047,L004,0.5227328293819941,0.7259556788702394,0.7699935530986108,56,31.2856179415652,198.8840609405163,7.2754083655166
P048,L003,0.4275410183585496,0.8971102599525771,0.2158210274968431,117,30.087776841155577,118.24122060973806,6.383061002746754
P049,L002,0.0254191267440951,0.8870864242651173,0.6228904758190003,107,24.92996818054874,257.9236285589108,6.599057764647471
P050,L002,0.1078914269933044,0.7798755458576239,0.085347464993768,124,24.92996818054874,257.9236285589108,6.599057764647471
P051,L003,0.0314291856867342,0.6420316461542878,0.0516817211686077,78,30.087776841155577,118.24122060973806,6.383061002746754
P052,L002,0.6364104112637804,0.0841399649950488,0.531354631568148,85,24.92996818054874,257.9236285589108,6.599057764647471
P053,L003,0.3143559810763267,0.1616287140946137,0.5406351216101065,138,30.087776841155577,118.24122060973806,6.383061002746754
P054,L004,0.5085706911647028,0.8985541885270792,0.6374299014982066,70,31.2856179415652,198.8840609405163,7.2754083655166
P055,L003,0.907566473926093,0.6064290596595899,0.7260913337226615,85,30.087776841155577,118.24122060973806,6.383061002746754
P056,L004,0.2492922291488749,0.0091970516166296,0.9758520794625346,59,31.2856179415652,198.8840609405163,7.2754083655166
P057,L004,0.4103829230356297,0.1014715428660321,0.5163003483011953,122,31.2856179415652,198.8840609405163,7.2754083655166
P058,L001,0.7555511385430487,0.6635017691080558,0.3229564729412459,73,24.39816157547097,258.3158087451697,5.615117520033289
P059,L003,0.2287981654916224,0.0050615838462186,0.7951861947687037,113,30.087776841155577,118.24122060973806,6.383061002746754
P060,L001,0.0769799098287929,0.1608080514174986,0.2708322512620742,148,24.39816157547097,258.3158087451697,5.615117520033289
P061,L003,0.289751452913768,0.5487337893665861,0.4389714207056361,98,30.087776841155577,118.24122060973806,6.383061002746754
P062,L003,0.1612212872540044,0.6918951976926933,0.0784563813422659,148,30.087776841155577,118.24122060973806,6.383061002746754
P063,L001,0.9296976523425732,0.6519612595026005,0.0253507434154575,85,24.39816157547097,258.3158087451697,5.615117520033289
P064,L001,0.808120379564417,0.2242693094605597,0.9626484146779252,131,24.39816157547097,258.3158087451697,5.615117520033289
P065,L003,0.6334037565104235,0.7121792213475359,0.8359801205122058,145,30.087776841155577,118.24122060973806,6.383061002746754
P066,L002,0.8714605901877177,0.2372490874968,0.695974206093698,73,24.92996818054874,257.9236285589108,6.599057764647471
P067,L004,0.8036720768991145,0.3253996981592677,0.4089529444142699,72,31.2856179415652,198.8840609405163,7.2754083655166
P068,L001,0.1865700588860358,0.7464914051180241,0.1732943200708457,111,24.39816157547097,258.3158087451697,5.615117520033289
P069,L004,0.8925589984899778,0.6496328990472147,0.156437042671086,145,31.2856179415652,198.8840609405163,7.2754083655166
P070,L002,0.5393422419156507,0.8492234104941779,0.2502428981645953,86,24.92996818054874,257.9236285589108,6.599057764647471
P071,L002,0.8074401551640625,0.6576128923003434,0.5492266647061205,61,24.92996818054874,257.9236285589108,6.599057764647471
P072,L002,0.8960912999234932,0.5683086033354716,0.7145959227000623,104,24.92996818054874,257.9236285589108,6.599057764647471
P073,L001,0.3180034749718639,0.0936747678280924,0.6601973767177313,62,24.39816157547097,258.3158087451697,5.615117520033289
P074,L002,0.1100519245276767,0.3677158030594335,0.2799338969459428,72,24.92996818054874,257.9236285589108,6.599057764647471
P075,L001,0.2279351625419416,0.2652023676817254,0.954865280663194,138,24.39816157547097,258.3158087451697,5.615117520033289
P076,L002,0.4271077886262563,0.2439896433790835,0.7378969166957685,148,24.92996818054874,257.9236285589108,6.599057764647471
P077,L004,0.8180147659224931,0.9730105547524456,0.5543540525114007,79,31.2856179415652,198.8840609405163,7.2754083655166
P078,L004,0.8607305832563434,0.3930977246667604,0.6117207462343522,66,31.2856179415652,198.8840609405163,7.2754083655166
P079,L003,0.0069521305311907,0.8920465551771133,0.4196000624277899,111,30.087776841155577,118.24122060973806,6.383061002746754
P080,L004,0.5107473025775657,0.6311386259972629,0.2477309895011574,133,31.2856179415652,198.8840609405163,7.2754083655166
P081,L003,0.417411003148779,0.7948113035416484,0.3559726786512616,138,30.087776841155577,118.24122060973806,6.383061002746754
P082,L004,0.2221078104707302,0.5026370931051921,0.7578461104643691,135,31.2856179415652,198.8840609405163,7.2754083655166
P083,L001,0.1198653673336828,0.5769038846263591,0.0143934886297558,62,24.39816157547097,258.3158087451697,5.615117520033289
P084,L004,0.3376151714036279,0.4925176938188639,0.1160726405069162,108,31.2856179415652,198.8840609405163,7.2754083655166
P085,L003,0.9429097039125192,0.1952429877980445,0.0460026420217527,68,30.087776841155577,118.24122060973806,6.383061002746754
P086,L003,0.3232029320207552,0.7224521152615053,0.0407288023189701,98,30.087776841155577,118.24122060973806,6.383061002746754
P087,L002,0.5187906217433661,0.2807723624408558,0.8554605840110072,149,24.92996818054874,257.9236285589108,6.599057764647471
P088,L001,0.7030189588951778,0.0243159664314538,0.7036578593800237,61,24.39816157547097,258.3158087451697,5.615117520033289
P089,L004,0.363629602379294,0.6454722959071678,0.4741738290873252,110,31.2856179415652,198.8840609405163,7.2754083655166
P090,L002,0.9717820827209608,0.1771106794070489,0.0978341606510014,68,24.92996818054874,257.9236285589108,6.599057764647471
P091,L004,0.9624472949421112,0.9404585843529144,0.4916158751168323,125,31.2856179415652,198.8840609405163,7.2754083655166
P092,L004,0.2517822958253641,0.9539285770025874,0.4734717707805657,58,31.2856179415652,198.8840609405163,7.2754083655166
P093,L002,0.4972485058923854,0.9148643902204484,0.1732018699100151,120,24.92996818054874,257.9236285589108,6.599057764647471
P094,L002,0.3008783098167696,0.3701587002554444,0.433851649237973,77,24.92996818054874,257.9236285589108,6.599057764647471
P095,L002,0.2848404943774676,0.0154566165288674,0.3985047343973734,127,24.92996818054874,257.9236285589108,6.599057764647471
P096,L002,0.0368869473545327,0.9283185625877254,0.6158500980522165,144,24.92996818054874,257.9236285589108,6.599057764647471
P097,L002,0.6095643339798968,0.4281841483173143,0.6350936508676438,101,24.92996818054874,257.9236285589108,6.599057764647471
P098,L004,0.5026790232288615,0.9666548190436696,0.0453040097720445,132,31.2856179415652,198.8840609405163,7.2754083655166
P099,L002,0.0514787512499893,0.9636199770892528,0.3746126146264712,65,24.92996818054874,257.9236285589108,6.599057764647471
P100,L001,0.2786464642366114,0.8530094554673601,0.6258599157142364,118,24.39816157547097,258.3158087451697,5.615117520033289
